filename,upernet_precision,upernet_recall,upernet_f1,auraseg_precision,auraseg_recall,auraseg_f1
scene14_0132.png,0.9994913530010173,0.5980507974010632,0.7483328067522738,1.0,0.5886001181334909,0.7410299312139803
scene14_0144.png,0.9968805704099821,0.6366450886574726,0.7770421182020347,0.9964943032427696,0.6391781593019983,0.7788079937601908
scene14_0146.png,0.9988551803091014,0.5137164308403118,0.6784846606565862,0.9994222992489891,0.5160265665607855,0.680627989846644
scene15_0002.png,1.0,0.5149804602692141,0.6798509601605044,1.0,0.5149804602692141,0.6798509601605044
scene15_0019.png,1.0,0.5250709555345316,0.6885856079404467,1.0,0.5255439924314097,0.6889922480620155
scene15_0031.png,0.9996431120628123,1.0,0.9998215241834733,1.0,0.9946120689655172,0.997298757428417
scene15_0034.png,1.0,0.5791505791505791,0.7334963325183373,1.0,0.5791505791505791,0.7334963325183373
scene15_0039.png,1.0,0.5363169479090242,0.6981852913085005,1.0,0.5300807043286867,0.6928794054183648
scene15_0048.png,0.9937739463601533,0.6291192330736968,0.7704786869593278,1.0,0.6324146195326543,0.7748210680858874
scene15_0049.png,0.9137826350941105,0.5712143928035982,0.7029856400435961,0.9798154555940023,0.6300599700149925,0.7669444315397891
scene15_0091.png,0.9966397849462365,0.5553072625698324,0.7132218997194242,0.9846252402306214,0.5635009310986965,0.7167855565374429
scene15_0120.png,0.994232987312572,0.573791348600509,0.7276446845207848,0.9926303854875284,0.5871501272264631,0.7378532048437435
scene15_0140.png,0.9967320261437909,0.5387429331559694,0.6994348323076325,0.9876543209876543,0.5690056534752245,0.7220342291066092
scene15_0142.png,0.9979476654694716,0.6481306943135406,0.7858684362931149,0.995702005730659,0.6930568645931511,0.8172606785816423
scene16_0008.png,0.9949012109623965,0.6155668358714044,0.7605592568456009,0.9750145264381174,0.6345177664974619,0.7687500801735782
scene16_0028.png,0.9772462077012836,0.5681818181818182,0.7185757185757186,0.986562150055991,0.5912384716732543,0.7393754188922846
scene16_0029.png,0.9936708860759493,0.5807412309728657,0.7330554018389239,0.9898177920685959,0.6204500330906685,0.7627706052959875
scene16_0031.png,0.8564476885644768,0.5683615819209039,0.6832801739690846,0.8720050441361917,0.5499058380414312,0.6744735842202616
scene16_0043.png,0.9790096878363832,0.6718584070796461,0.7968606230999339,0.9875675675675676,0.6753982300884955,0.802182929039273
scene16_0045.png,0.9159663865546218,0.5846051758460518,0.7136996380554586,0.9685598377281948,0.6373589913735899,0.7688063805873513
scene16_0051.png,1.0,0.5666805151641047,0.7234155396446567,1.0,0.5646032405484005,0.7217206585236325
scene16_0063.png,0.9913885898815931,0.6913857677902622,0.8146451225250383,1.0,0.7067415730337079,0.8281764318630678
scene16_0074.png,0.9912524850894632,0.665721649484536,0.7965100065959205,0.9976237623762376,0.6670103092783505,0.7994854191883702
scene16_0080.png,1.0,0.5470024831500532,0.7071772529236413,0.9993324432576769,0.546647747428166,0.7067138794273261
scene16_0111.png,0.9915651358950328,0.6250364750510651,0.7667496718138881,1.0,0.6276626787277502,0.7712441735389028
scene16_0113.png,0.9961190168175937,0.5422486033519553,0.7022302583073503,0.9941935483870967,0.5429469273743017,0.7023357211965285
scene16_0119.png,0.9856991525423728,0.6236210253082414,0.7639284271883394,1.0,0.6258922777417262,0.7699062063460387
scene16_0143.png,1.0,0.576,0.730964467005076,0.9989106753812637,0.575076923076923,0.7299301191313784
scene16_0149.png,1.0,0.6002498438475953,0.7501951600312257,1.0,0.6002498438475953,0.7501951600312257
scene16_0160.png,1.0,0.5847594446238296,0.7379788101059495,1.0,0.5837907652567,0.7372069317023445
scene17_0001.png,0.9484126984126984,0.4842583576760792,0.64114755970056,0.9972337482710927,0.5277507302823758,0.6902245187590577
scene17_0007.png,0.9974683544303797,0.5365693670055756,0.6977807078222443,0.8667929292929293,0.4601508691374221,0.6011641491495294
scene17_0018.png,0.9895287958115183,0.535678391959799,0.6950782797093751,0.9973333333333333,0.5296482412060302,0.6918693122482471
scene17_0023.png,0.9633375474083439,0.5707762557077626,0.7168310423588821,0.9573400250941029,0.5504039339655779,0.698956494288487
scene17_0026.png,0.8774355751099937,0.4884363134276838,0.6275425992343391,0.8398268398268398,0.4722126337590611,0.6045196839273552
scene17_0038.png,0.9564343163538874,0.5245009074410163,0.6774782026588033,0.9966487935656837,0.5502722323049002,0.7090577311802033
scene17_0042.png,0.9921671018276762,0.5108892921960072,0.6744757554119002,0.9993485342019544,0.5444646098003629,0.7048908889559435
scene17_0045.png,0.9605831533477321,0.5675925925925925,0.7135565184276889,0.9682454251883746,0.5746913580246914,0.721276833058509
scene17_0059.png,0.9238733252131547,0.42343073593073594,0.5807098386828107,0.9288702928870293,0.4407467532467532,0.5978263295320136
scene17_0079.png,0.9838516746411483,0.5308910276311705,0.6896458729305506,0.982363315696649,0.5426886060229742,0.6991465284701743
scene17_0108.png,0.9983783783783784,0.768361581920904,0.8683967164431938,0.9831975560081466,0.7736077481840193,0.8659004449821438
scene17_0109.png,1.0,0.5121834687052078,0.6774091627172195,1.0,0.5097945532728141,0.6753164556962025
scene17_0110.png,0.9995229007633588,0.6652254478072884,0.7988091050816603,1.0,0.6680049413218035,0.8009627846695057
scene17_0116.png,0.9977231329690346,0.6518137674950014,0.7884996983511148,1.0,0.6555269922879178,0.7919254658385094
scene17_0147.png,0.8297872340425532,0.5128640090472152,0.6339218910309542,0.8232044198895028,0.5086231269437377,0.628761294438867
scene17_0166.png,0.9872641509433963,0.6192982456140351,0.7611418740374066,0.9872641509433963,0.6198830409356725,0.7615833909749529
scene17_0174.png,1.0,0.524390243902439,0.6880000000000001,1.0,0.5232100708103855,0.6869834710743802
